Date,Open,High,Low,Close,Adj Close,Volume
20/10/2018,0.245219,0.249199,0.240961,0.244182,0.244182,60012800
21/10/2018,0.243722,0.248253,0.23973,0.241724,0.241724,46623600
22/10/2018,0.240374,0.244095,0.238244,0.242361,0.242361,40765500
23/10/2018,0.242491,0.246983,0.239368,0.242215,0.242215,39384600
24/10/2018,0.241749,0.244423,0.236891,0.23776,0.23776,39973400
25/10/2018,0.237535,0.239069,0.233741,0.235646,0.235646,39745700
26/10/2018,0.235332,0.236927,0.230687,0.234011,0.234011,35741700
27/10/2018,0.233858,0.235208,0.2282,0.22876,0.22876,38499600
28/10/2018,0.229188,0.23408,0.227392,0.232871,0.232871,39381600
29/10/2018,0.231678,0.232719,0.221143,0.222357,0.222357,45544800
30/10/2018,0.2222,0.226328,0.221782,0.225093,0.225093,43111300
31/10/2018,0.226218,0.227941,0.217748,0.223471,0.223471,42791700
1/11/2018,0.22436,0.24053,0.22251,0.222945,0.222945,38696300
2/11/2018,0.223014,0.236297,0.223014,0.234244,0.234244,50452100
3/11/2018,0.234098,0.239844,0.232162,0.235706,0.235706,50502800
4/11/2018,0.235788,0.244596,0.234853,0.241638,0.241638,57585400
5/11/2018,0.240807,0.246755,0.239831,0.246529,0.246529,54187000
6/11/2018,0.246849,0.267038,0.246849,0.265596,0.265596,101099000
7/11/2018,0.265875,0.265875,0.253465,0.256718,0.256718,78967900
8/11/2018,0.256527,0.263579,0.249665,0.256043,0.256043,88138000
9/11/2018,0.255711,0.264205,0.253859,0.255542,0.255542,71764800
10/11/2018,0.255588,0.26123,0.254943,0.26123,0.26123,53086500
11/11/2018,0.260383,0.274956,0.258771,0.273605,0.273605,109488000
12/11/2018,0.274039,0.284025,0.266906,0.267326,0.267326,98560700
13/11/2018,0.267548,0.269933,0.255827,0.257787,0.257787,71147400
14/11/2018,0.256955,0.256955,0.220117,0.233043,0.233043,100039000
15/11/2018,0.233055,0.244733,0.215886,0.241944,0.241944,97300800
16/11/2018,0.240067,0.247692,0.235995,0.23885,0.23885,116280000
17/11/2018,0.236753,0.246795,0.233868,0.244927,0.244927,95893400
18/11/2018,0.244894,0.253564,0.244894,0.249758,0.249758,101810000
19/11/2018,0.249614,0.249614,0.224335,0.224412,0.224412,130056000
20/11/2018,0.224573,0.230491,0.184698,0.193193,0.193193,154290000
21/11/2018,0.194015,0.208379,0.186163,0.203688,0.203688,108181000
22/11/2018,0.203459,0.20511,0.187797,0.187797,0.187797,81440600
23/11/2018,0.187441,0.189445,0.176112,0.181211,0.181211,101304000
24/11/2018,0.181912,0.184994,0.149063,0.154205,0.154205,98670200
25/11/2018,0.15543,0.159619,0.133734,0.159607,0.159607,137467000
26/11/2018,0.159195,0.163263,0.137487,0.144795,0.144795,105913000
